番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
622,橋本　盛夫,60,国税庁東京国税局目黒税務署長,国税,2024-07-10,2024-08-22,橋本盛夫税理士事務所,税理士業,開業税理士,無,無
623,長谷川　清彦,60,国税庁金沢国税局調査査察部長,国税,2024-07-10,2024-09-24,長谷川清彦税理士事務所,税理士業,開業税理士,無,無
624,漢　昭弘,61,国税庁東京国税局課税第二部長,国税,2024-07-10,2024-08-22,かがやき税理士法人,税理士業,社員税理士,無,有
625,初谷　武志,59,国税庁長官官房付,国税,2024-07-10,2024-10-28,足立区,地方公務,代表監査委員,無,無
626,服部　考一朗,60,国税庁名古屋国税局調査部長,国税,2024-07-10,2024-09-24,服部考一朗税理士事務所,税理士業,開業税理士,無,無
627,馬場　靖夫,60,国税庁東京国税局鶴見税務署長,国税,2024-07-10,2024-08-01,税理士法人だいち,税理士業,事務員,無,無
628,馬場　靖夫,60,国税庁東京国税局鶴見税務署長,国税,2024-07-10,2024-09-24,税理士法人だいち,税理士業,所属税理士,無,無
629,馬場　靖夫,60,国税庁東京国税局鶴見税務署長,国税,2024-07-10,2025-01-26,医療法人向心会,医療業,監事,無,無
630,浜野　靖史,60,国税庁大阪国税局調査第二部長,国税,2024-07-10,2024-08-22,浜野靖史税理士事務所,税理士業,開業税理士,無,無
631,林　健太郎,60,国税庁名古屋国税局査察部長,国税,2024-07-10,2024-08-22,林健太郎税理士事務所,税理士業,開業税理士,無,無
632,林　訓己,60,国税庁名古屋国税局豊橋税務署長,国税,2024-07-10,2024-09-24,林訓己税理士事務所,税理士業,開業税理士,無,無
633,東山　俊雄,60,国税庁東京国税局松戸税務署長,国税,2024-07-10,2024-08-22,東山俊雄税理士事務所,税理士業,開業税理士,無,無
634,久地　正浩,60,国税庁大阪国税局伏見税務署長,国税,2024-07-10,2024-08-22,久地正浩税理士事務所,税理士業,開業税理士,無,無
635,久松　泰雄,60,国税庁福岡国税局八幡税務署長,国税,2024-07-10,2024-08-22,久松泰雄税理士事務所,税理士業,開業税理士,無,無
636,平江　誠也,60,国税庁大阪国税局豊能税務署長,国税,2024-07-10,2024-12-18,平江誠也税理士事務所,税理士業,開業税理士,無,無
637,平澤　裕紀子,60,国税庁大阪国税局門真税務署長,国税,2024-07-10,2024-08-22,平澤裕紀子税理士事務所,税理士業,開業税理士,無,無
638,平野　裕司,61,国税庁福岡国税局西福岡税務署長,国税,2024-07-10,2024-08-22,平野裕司税理士事務所,税理士業,開業税理士,無,無
639,福原　俊之,60,国税庁東京国税局横須賀税務署長,国税,2024-07-10,2024-08-22,福原俊之税理士事務所,税理士業,開業税理士,無,無
640,藤岡　龍二,60,国税庁福岡国税局福岡税務署長,国税,2024-07-10,2024-08-22,藤岡龍二税理士事務所,税理士業,開業税理士,無,無
641,藤田　圭助,60,国税庁東京国税局大和税務署長,国税,2024-07-10,2024-08-22,藤田圭助税理士事務所,税理士業,開業税理士,無,無
642,藤田　一志,61,国税庁仙台国税局福島税務署長,国税,2024-07-10,2024-08-26,一般財団法人日本聖書協会,聖書の翻訳、出版、頒布等,一般職員,無,無
643,二村　眞一,61,国税庁名古屋国税局四日市税務署長,国税,2024-07-10,2025-02-20,村松昇税理士事務所,税理士業,所属税理士,無,無
644,船島　芳文,60,国税庁熊本国税局徴収部長,国税,2024-07-10,2024-09-24,船島芳文税理士事務所,税理士業,開業税理士,無,無
645,船島　芳文,60,国税庁熊本国税局徴収部長,国税,2024-07-10,2024-10-01,税理士法人和光会計事務所,税理士業,社員税理士,無,無
646,袰田　英一,60,国税庁札幌国税局札幌東税務署長,国税,2024-07-10,2024-08-22,袰田英一税理士事務所,税理士業,開業税理士,無,無
647,本間　伸幸,60,国税庁大阪国税局八尾税務署長,国税,2024-07-10,2024-10-23,本間伸幸税理士事務所,税理士業,開業税理士,無,無
648,松浦　剛,61,国税庁大阪国税局宇治税務署長,国税,2024-07-10,2024-08-22,松浦剛税理士事務所,税理士業,開業税理士,無,無
649,松沢　玲子,60,国税庁長官官房付,国税,2024-07-10,2024-09-24,松沢玲子税理士事務所,税理士業,開業税理士,無,無
650,松下　勝昭,61,国税庁名古屋国税局名古屋中村税務署長,国税,2024-07-10,2024-09-24,森下昭彦税理士事務所,税理士業,所属税理士,無,無
651,松下　滋春,60,国税庁東京国税局神奈川税務署長,国税,2024-07-10,2024-08-22,松下滋春税理士事務所,税理士業,開業税理士,無,無
652,松㠀　昌吾,61,国税庁関東信越国税局水戸税務署長,国税,2024-07-10,2024-09-24,松㠀昌吾税理士事務所,税理士業,開業税理士,無,無
653,松山　清人,59,国税庁長官官房付,国税,2024-07-10,2024-10-23,松山清人税理士事務所,税理士業,開業税理士,無,無
654,水谷　孝広,61,国税庁名古屋国税局徴収部長,国税,2024-07-10,2024-09-24,水谷孝広税理士事務所,税理士業,開業税理士,無,無
655,三宅　浩一,60,国税庁熊本国税局調査査察部長,国税,2024-07-10,2024-09-24,三宅浩一税理士事務所,税理士業,開業税理士,無,無
656,宮坂　博人,60,国税庁札幌国税局札幌中税務署長,国税,2024-07-10,2024-08-22,宮坂博人税理士事務所,税理士業,開業税理士,無,無
657,宮坂　博人,60,国税庁札幌国税局札幌中税務署長,国税,2024-07-10,2024-10-01,税理士法人ティグレパートナーズ,税理士業,札幌事務所社員税理士,無,無
658,宮﨑　潤,60,国税庁札幌国税局札幌北税務署長,国税,2024-07-10,2024-09-24,宮﨑潤税理士事務所,税理士業,開業税理士,無,無
659,宮葉　敏之,60,国税庁長官官房付,国税,2024-07-10,2024-10-23,宮葉敏之税理士事務所,税理士業,開業税理士,無,無
660,村本　正浩,60,国税庁大阪国税局奈良税務署長,国税,2024-07-10,2024-08-22,村本正浩税理士事務所,税理士業,開業税理士,無,無
661,最上　治,60,国税庁仙台国税局青森税務署長,国税,2024-07-10,2024-11-20,最上治税理士事務所,税理士業,開業税理士,無,無
662,本塚　浩二,60,国税庁金沢国税局金沢税務署長,国税,2024-07-10,2024-08-16,辻・本郷税理士法人,税理士業,契約社員,無,有
663,本塚　浩二,60,国税庁金沢国税局金沢税務署長,国税,2024-07-10,2024-09-24,辻・本郷税理士法人,税理士業,所属税理士,無,有
664,森　貞夫,60,国税庁東京国税局豊島税務署長,国税,2024-07-10,2024-08-22,森貞夫税理士事務所,税理士業,開業税理士,無,無
665,森　貞夫,60,国税庁東京国税局豊島税務署長,国税,2024-07-10,2025-01-14,税理士法人高津会計,税理士業,西日暮里支店社員税理士,無,無
666,森　文人,60,国税庁東京国税局調査第一部調査審理課国税調査官（国税庁金沢国税不服審判所長）,国税,2024-07-10,2024-08-22,森文人税理士事務所,税理士業,開業税理士,無,無
667,矢澤　昇,60,国税庁名古屋国税局豊田税務署長,国税,2024-07-10,2024-09-24,税理士法人小島税理士オフィス,税理士業,社員税理士,無,有
668,山﨑　義久,61,国税庁大阪国税局課税第一部長,国税,2024-07-10,2024-08-22,山﨑義久税理士事務所,税理士業,開業税理士,無,無
669,山田　晃央,60,国税庁東京国税局立川税務署長,国税,2024-07-10,2024-08-22,山田晃央税理士事務所,税理士業,開業税理士,無,無
670,山田　晃央,60,国税庁東京国税局立川税務署長,国税,2024-07-10,2024-09-01,株式会社ダイナム,遊技場運営事業,非常勤監査役,無,無
671,山田　博光,60,国税庁関東信越国税局総務部付,総務省,2024-07-10,2024-09-24,MMG税理士法人,税理士業,所属税理士,無,無
672,山本　茂,60,国税庁東京国税局徴収部長,国税,2024-07-10,2024-08-22,山本茂税理士事務所,税理士業,開業税理士,無,無
673,山夲　雅人,60,国税庁東京国税局町田税務署長,国税,2024-07-10,2024-08-22,山夲雅人税理士事務所,税理士業,開業税理士,無,無
674,横井　克宏,60,国税庁東京国税局王子税務署長,国税,2024-07-10,2024-08-22,横井克宏税理士事務所,税理士業,開業税理士,無,無
675,横山　隆,60,国税庁関東信越国税局課税第二部長,国税,2024-07-10,2024-09-24,横山隆税理士事務所,税理士業,開業税理士,無,無
676,吉岡　啓三,61,国税庁熊本国税局別府税務署長,国税,2024-07-10,2024-09-24,吉岡啓三税理士事務所,税理士業,開業税理士,無,無
677,吉岡　啓三,61,国税庁熊本国税局別府税務署長,国税,2024-07-10,2024-10-01,戸田強税理士事務所,税理士業,所属税理士,無,無
678,吉川　達也,60,国税庁大阪国税局明石税務署長,国税,2024-07-10,2024-08-22,吉川達也税理士事務所,税理士業,開業税理士,無,無
679,寄川　重和,60,国税庁大阪国税局泉佐野税務署長,国税,2024-07-10,2024-09-09,公益社団法人堺納税協会,税務知識の普及と納税意識の高揚に資する各種事業等,一般社員,無,無
680,渡部　高久,61,国税庁東京国税局芝税務署長,国税,2024-07-10,2024-08-22,渡部高久税理士事務所,税理士業,開業税理士,無,無
681,神田　眞人,59,財務官,財務省,2024-07-31,2024-08-01,内閣官房,国家公務,内閣官房参与,無,無
682,神田　眞人,59,財務官,財務省,2024-07-31,2025-02-24,アジア開発銀行,途上国の政府及び民間企業に対する融資等の業務,総裁,無,無
683,吉田　雄一郎,44,財務省大臣官房文書課業務改革・情報化調整官,財務省,2024-07-31,2024-08-01,LINEヤフー株式会社,インターネット上の広告事業、イーコマース事業、会員サービス事業等,ガバナンスグループ経済安全保障室付,無,無
684,青木　早苗,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-07-01,住友生命保険相互会社,生命保険業,顧問,無,無
685,安部　栄一,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-04-01,学校法人ノートルダム清心学園,教育・研究,法人事務局長,無,無
686,石田　徹,60,文化庁文化資源活用課文化政策調査分析官（文化庁文化戦略官）,文化庁,2023-03-31,2024-04-01,学校法人峯徳学園,教育・研究,埼玉学園大学参与,無,無
687,神代　浩,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-04-01,学校法人日本医科大学,教育・研究,日本獣医生命科学大学事務局長,無,無
688,斎藤　尚樹,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-07-01,国立大学法人千葉大学,教育・研究,千葉大学データサイエンスコアダイレクター・オフィス・マネージャー,無,無
689,佐伯　浩治,60,科学技術・学術政策研究所長,文部科学省,2023-03-31,2024-04-01,国立研究開発法人科学技術振興機構,科学技術の振興業務,研究開発戦略センター副センター長,無,無
690,佐々木　強,60,文部科学省大臣官房付,文部科学省,2023-03-31,2025-03-01,学校法人花園大学,教育・研究,花園大学事務局次長,無,無
691,佐藤　規朗,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-04-01,学校法人名城大学,教育・研究,東京オフィス所長,無,無
692,竹田　健児,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-07-01,国立研究開発法人日本原子力研究開発機構,原子力に関する研究、開発,嘱託職員（特任補佐）,無,無
693,西山　和徳,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-06-10,一般社団法人埼玉県知的障害児者生活サポート協会,障がい者の相談支援に係る事務,事務局長,無,無
694,渡辺　泰司,60,文部科学省大臣官房付,文部科学省,2023-03-31,2024-08-01,学校法人五島育英会,教育・研究,東京都市大学産学官連携コーディネーター,無,無
695,伯井　美徳,60,文部科学審議官,文部科学省,2023-08-08,2024-04-01,学校法人日本女子大学,教育・研究,日本女子大学シニア・アドバイザー,無,無
696,伯井　美徳,60,文部科学審議官,文部科学省,2023-08-08,2024-11-01,東京海上日動火災保険株式会社,損害保険業,顧問,無,無
697,森　晃憲,60,文部科学省研究振興局長 併任 内閣事務官（内閣官房副長官補付） 命 内閣官房健康・医療戦略室次長 命 国家安全保障会議幹事,内閣官房,2023-08-08,2024-06-01,学校法人聖心女子学院,教育・研究,常務理事,無,無
698,室谷　展寛,59,文部科学省大臣官房付,文部科学省,2023-09-09,2024-09-10,経済協力開発機構／原子力機関,原子力政策、技術に関する情報・意見交換、行政上・規制上の問題の検討、各国法の調査及び経済的側面の研究等,事務局次長,無,無
